query,original_name,sheet,row,source_link,people_count
大明青龙劫,大明青龙劫（5-7人开放）,狐小狸剧本杀目录,104,https://pan.baidu.com/s/1Her7d70jV2Zl-wBg46WJ_Q,5|6|7
西部惊魂英文,西部惊魂英文（（10人开放））,狐小狸剧本杀目录,105,https://pan.baidu.com/s/153KVJTAvmSGaNgDrES8ZAA,10
恐怖童谣,恐怖童谣5-6人开放,狐小狸剧本杀目录,106,https://pan.baidu.com/s/1ltE0YHTzGR4Zx2gGGMRKsQ,5|6
四大名捕3之龙门客栈,四大名捕3之龙门客栈（4人开放）,狐小狸剧本杀目录,107,https://pan.baidu.com/s/1yHmBI3mUXvp-nwKquzsGGA,4
红色幽灵,红色幽灵(8人开放）,狐小狸剧本杀目录,108,https://pan.baidu.com/s/11rxoZeuLSqNq3FApmyTCEA,8
奥伯利庄园,奥伯利庄园（7人封闭）,狐小狸剧本杀目录,109,https://pan.baidu.com/s/1y4wQsKJZTj_G0cNFNl8Z-g,7
古堡惊魂,古堡惊魂（8人半开放）,狐小狸剧本杀目录,110,https://pan.baidu.com/s/1mie38kWL2_MLg1Gpz2Mg0A,8
帝国旅馆谋杀案英文,帝国旅馆谋杀案英文（6人开放）,狐小狸剧本杀目录,111,https://pan.baidu.com/s/1hv59Fn2VE_G_NQvc1Ry3fg,6
沉没的眼睛,沉没的眼睛（6人开放）,狐小狸剧本杀目录,112,https://pan.baidu.com/s/1h6N0CKjQEIbFCUZoaSEW9Q,6
死穿白,死穿白（8人开放）,狐小狸剧本杀目录,113,https://pan.baidu.com/s/1qt_r2weAv7hGOmT_ZXh9LA,8
风声,风声（8-10人开放）,狐小狸剧本杀目录,114,https://pan.baidu.com/s/1lhJs-4kFg1IwsJxnZYibyg,8|9|10
疯人院,疯人院(10人半开放）,狐小狸剧本杀目录,115,https://pan.baidu.com/s/131zjAITpgG1-YlSp1NNJvw,10
马戏团事件,马戏团事件（6人封闭）,狐小狸剧本杀目录,116,https://pan.baidu.com/s/19B654z710WsNvaRf_DCEmQ,6
无间道,无间道(9人开放),狐小狸剧本杀目录,117,https://pan.baidu.com/s/19i9vWrKKmd9ibKR1yBF8nw,9
好莱坞案件英文,好莱坞案件英文（11人开放）,狐小狸剧本杀目录,118,https://pan.baidu.com/s/1DJzpJiZBAaAZSUcHcxLCyA,11
丹水山庄,丹水山庄（7人开放）,狐小狸剧本杀目录,119,https://pan.baidu.com/s/1d5UEcvY6xnKIXoaJ7d4vVw,7
捉妖相府鱼美人1之爱的信仰,捉妖相府鱼美人1之爱的信仰（4人开放）,狐小狸剧本杀目录,120,https://pan.baidu.com/s/1RzQi-1afIGArLpuEVrErYQ,4
塞西尔迷雾,塞西尔迷雾（6人开放）,狐小狸剧本杀目录,121,https://pan.baidu.com/s/1-MQhToBOSy5fyxcolcJlmw,6
修玛疑案,修玛疑案（7人开放）,狐小狸剧本杀目录,122,https://pan.baidu.com/s/1DvR51HfZqlmNRZ-0-9NRzQ,7
酒红色的谋杀,酒红色的谋杀（6-8人封闭）,狐小狸剧本杀目录,123,https://pan.baidu.com/s/1GTu_rF_1wue5e01wWmUn6g,6|7|8
深蓝阵雨,深蓝阵雨（8人开放）,狐小狸剧本杀目录,124,https://pan.baidu.com/s/1tkxnWt3DBpIj3H-rfNH4dA,8
傀儡的记忆,傀儡的记忆（6人半开放）,狐小狸剧本杀目录,125,https://pan.baidu.com/s/1RqTbq7Nm8F9WfJSh5Ro7tQ,6
狂欢节的悲剧,狂欢节的悲剧（8人半开放）,狐小狸剧本杀目录,126,https://pan.baidu.com/s/14gu1AH3OwrBQuxcx08CYkw,8
四大名捕1之铁鸡帮,四大名捕1之铁鸡帮（4人开放）,狐小狸剧本杀目录,127,https://pan.baidu.com/s/1x18MRxROl94aACZ6ofhXxQ,4
隋唐大运河修正版,隋唐大运河修正版（10人开放）,狐小狸剧本杀目录,128,https://pan.baidu.com/s/1LWo9GwVT3HDSfp14qTUkWA,10
香槟迷情,香槟迷情（10人封闭）,狐小狸剧本杀目录,129,https://pan.baidu.com/s/1u9PBwLF3Ktgn4EXSL2b-vQ,10
七宗罪,七宗罪（8人开放）,狐小狸剧本杀目录,130,https://pan.baidu.com/s/1mhNqNJnnb0WbV6mLuwiRgA,8
富豪之死,富豪之死（6人开放）,狐小狸剧本杀目录,131,https://pan.baidu.com/s/1zQMAkKkWt8FBnA48FpY2CA,6
幽灵特快,幽灵特快（7人开放）,狐小狸剧本杀目录,132,https://pan.baidu.com/s/1qCyjzkMtu375nu4iOdmHlA,7
四大名捕4之皇宫秘史,四大名捕4之皇宫秘史（7人开放）,狐小狸剧本杀目录,133,https://pan.baidu.com/s/1NZOnmetb6fEyeHD7dn7E3A,7
救生艇,救生艇（8人开放式）,狐小狸剧本杀目录,134,https://pan.baidu.com/s/1wY5NyWci3Odvbg8ohrLUjg,8
不可思议之谜,不可思议之谜（8人封闭）,狐小狸剧本杀目录,135,https://pan.baidu.com/s/1JZWGrE7k0Z9LOGSckcNk0Q,8
雪地惊情,雪地惊情（10~12开放）,狐小狸剧本杀目录,136,https://pan.baidu.com/s/1zNTXEUUEcbzn_v6nZBSiCQ,10|11|12
沃特顿庄园,沃特顿庄园（8人封闭）,狐小狸剧本杀目录,137,https://pan.baidu.com/s/1B18qXXZTt6DRpqUFWVRSGw,8
惊魂醉阳楼,惊魂醉阳楼（9人半开放）,狐小狸剧本杀目录,138,https://pan.baidu.com/s/1dm6dw_r80mZTQHmvAAxjZg,9
东方之星号游轮事件,东方之星号游轮事件（5人开放）,狐小狸剧本杀目录,139,https://pan.baidu.com/s/1yPF-k5ss39Fux0ToQXGWkg,5
孝衣新娘,孝衣新娘（10人开放）,狐小狸剧本杀目录,140,https://pan.baidu.com/s/1G0SiN01IhJn6dK7DZcuDCg,10
大明星的最后演出,大明星的最后演出（2人开放）,狐小狸剧本杀目录,141,https://pan.baidu.com/s/1NdinDaC-C6SCYg_EMyz1pg,2
未完结的爱,未完结的爱（7人开放）,狐小狸剧本杀目录,142,https://pan.baidu.com/s/1x86utg6ofU6wp2geOWljNw,7
临终遗言,临终遗言（8人封闭）,狐小狸剧本杀目录,143,https://pan.baidu.com/s/1cdTiKgf8cRoBRjwN2rVeuA,8
上海滩杀人.事件,036-上海滩杀人.事件（5人封闭）,狐小狸剧本杀目录,144,https://pan.baidu.com/s/16VIK9eXv1RrXpT6M71lRWg,5
致命遗嘱,致命遗嘱（6~11人开放）,狐小狸剧本杀目录,145,https://pan.baidu.com/s/1jSIz3rha7-aHC5JNKuIppQ,6|7|8|9|10|11
南瓜投毒者,南瓜投毒者（7人半开放）,狐小狸剧本杀目录,146,https://pan.baidu.com/s/1eFpEPbrsMe_aArZhespU-A,7
孤泣之魂2,孤泣之魂2（6人开放）,狐小狸剧本杀目录,147,https://pan.baidu.com/s/1J5HRMvx8CEO7VDd2Dpbh7w,6
德州扑克血色牌局,德州扑克血色牌局（7人开放）,狐小狸剧本杀目录,148,https://pan.baidu.com/s/1JCi2n0KwLNF1XYk8SoPopA,7
图纹窃案,图纹窃案(8人封闭）,狐小狸剧本杀目录,149,https://pan.baidu.com/s/11o1WPn0k9kR33tEITmnTiw,8
绝命楼兰,绝命楼兰（8人开放）,狐小狸剧本杀目录,150,https://pan.baidu.com/s/13qGulKM673iuItbLygMgzg,8
